Date,Close,Change
6/13/16,108.93,0.14
6/14/16,107.61,-1.32
6/15/16,107.23,-0.38
6/16/16,107.69,0.46
6/17/16,106.94,-0.75
6/20/16,107.42,0.48
6/21/16,109.44,2.02
6/22/16,109.4,-0.04
6/23/16,111.47,2.07
6/24/16,108.27,-3.2
6/27/16,108.89,0.62
6/28/16,110.8,1.91
6/29/16,113,2.2
6/30/16,113.61,0.61
7/1/16,113.6,-0.01
7/5/16,113.83,0.23
7/6/16,112.4,-1.43
7/7/16,112.2,-0.2
7/8/16,113.66,1.46
7/11/16,114.67,1.01
7/12/16,116.1,1.43
7/13/16,116.01,-0.09
7/14/16,117,0.99
7/15/16,116.82,-0.18
7/18/16,116.3,-0.52
7/19/16,117.37,1.07
7/20/16,117.73,0.36
7/21/16,117.55,-0.18
7/22/16,117.84,0.29
7/25/16,116.87,-0.97
7/26/16,116.97,0.1
7/27/16,117.61,0.64
7/28/16,116.65,-0.96
7/29/16,115.77,-0.88
8/1/16,117.04,1.27
8/2/16,116.74,-0.3
8/3/16,115.73,-1.01
8/4/16,116.42,0.69
8/5/16,116.58,0.16
8/8/16,115.73,-0.85
8/9/16,115.92,0.19
8/10/16,116.24,0.32
8/11/16,115.89,-0.35
8/12/16,116.5,0.61
8/15/16,115.79,-0.71
8/16/16,114.12,-1.67
8/17/16,114.56,0.44
8/18/16,114.35,-0.21
8/19/16,113.61,-0.74
8/22/16,114.62,1.01
8/23/16,115.22,0.6
8/24/16,114.57,-0.65
8/25/16,114.25,-0.32
8/26/16,113.23,-1.02
8/29/16,113.84,0.61
8/30/16,113.22,-0.62
8/31/16,113.38,0.16
9/1/16,113.82,0.44
9/2/16,115.09,1.27
9/6/16,117.15,2.06
9/7/16,116.83,-0.32
9/8/16,116.25,-0.58
9/9/16,110.19,-6.06
9/12/16,111.27,1.08
9/13/16,108.11,-3.16
9/14/16,108.37,0.26
9/15/16,109.08,0.71
9/16/16,108,-1.08
9/19/16,109.2,1.2
9/20/16,108.65,-0.55
9/21/16,110.1,1.45
9/22/16,112.28,2.18
9/23/16,112.99,0.71
9/26/16,112.69,-0.3
9/27/16,112.58,-0.11
9/28/16,112.63,0.05
9/29/16,113.48,0.85
9/30/16,113.33,-0.15
10/3/16,112.25,-1.08
10/4/16,110.61,-1.64
10/5/16,107.44,-3.17
