Date,Close,Change
3/15/17,22.1,1.15
3/16/17,22.25,0.15
3/17/17,23.45,1.2
3/20/17,23.3,-0.15
3/21/17,23.95,0.65
3/22/17,23.9,-0.05
3/23/17,23.95,0.05
3/24/17,25.45,1.5
3/27/17,25.65,0.2
3/28/17,25.7,0.05
3/29/17,24.95,-0.75
3/30/17,25.2,0.25
3/31/17,25,-0.2
4/3/17,24.75,-0.25
4/4/17,24.9,0.15
4/5/17,25.25,0.35
4/6/17,25.3,0.05
4/7/17,24.85,-0.45
4/10/17,24.75,-0.1
4/11/17,24.75,0
4/12/17,24.15,-0.6
4/13/17,24.7,0.55
4/17/17,25.45,0.75
4/18/17,25.8,0.35
4/19/17,25.75,-0.05
4/20/17,26.45,0.7
4/21/17,25.75,-0.7
4/24/17,25.55,-0.2
4/25/17,25.45,-0.1
4/26/17,25.75,0.3
4/27/17,25.1,-0.65
4/28/17,24.8,-0.3
5/1/17,25.1,0.3
5/2/17,25,-0.1
5/3/17,24.8,-0.2
5/4/17,24.85,0.05
5/5/17,23.2,-1.65
5/8/17,22.85,-0.35
5/9/17,28.6,5.75
5/10/17,30.75,2.15
5/11/17,29.7,-1.05
5/12/17,29.45,-0.25
5/15/17,28.8,-0.65
5/16/17,28.55,-0.25
5/17/17,27.55,-1
5/18/17,28.55,1
5/19/17,29.65,1.1
5/22/17,28.5,-1.15
5/23/17,29.05,0.55
5/24/17,29.1,0.05
5/25/17,30.5,1.4
5/26/17,30.3,-0.2
5/30/17,29.6,-0.7
5/31/17,30.6,1
6/1/17,31,0.4
6/2/17,32.9,1.9
6/5/17,32.35,-0.55
6/6/17,33.45,1.1
6/7/17,33.95,0.5
6/8/17,33,-0.95
6/9/17,31.65,-1.35
6/12/17,30.7,-0.95
6/13/17,32.6,1.9
6/14/17,33,0.4
6/15/17,33.35,0.35
6/16/17,34,0.65
6/19/17,35.8,1.8
6/20/17,32.65,-3.15
6/21/17,33.85,1.2
6/22/17,34.65,0.8
6/23/17,36,1.35
6/26/17,35.65,-0.35
6/27/17,34.8,-0.85
6/28/17,36.15,1.35
6/29/17,35.25,-0.9
6/30/17,34.7,-0.55
7/3/17,34.25,-0.45
7/5/17,35.1,0.85
7/6/17,34.7,-0.4
7/7/17,35.15,0.45
7/10/17,35,-0.15
7/11/17,35.2,0.2
7/12/17,35.35,0.15
7/13/17,34.75,-0.6
7/14/17,35.45,0.7
7/17/17,34.95,-0.5
7/18/17,35.15,0.2
7/19/17,35.25,0.1
7/20/17,34.45,-0.8
7/21/17,34.4,-0.05
7/24/17,34.3,-0.1
7/25/17,34.7,0.4
7/26/17,34.35,-0.35
7/27/17,32.5,-1.85
7/28/17,33.75,1.25
7/31/17,32.8,-0.95
8/1/17,32.55,-0.25
8/2/17,30.75,-1.8
8/3/17,30.25,-0.5
8/4/17,30.9,0.65
8/7/17,31.7,0.8
8/8/17,32.65,0.95
8/9/17,31.95,-0.7
8/10/17,30.7,-1.25
8/11/17,30.35,-0.35
8/14/17,30.7,0.35
8/15/17,31.2,0.5
8/16/17,30.05,-1.15
8/17/17,30.15,0.1
8/18/17,29.5,-0.65
8/21/17,28.95,-0.55
8/22/17,29.1,0.15
8/23/17,29.25,0.15
8/24/17,29.95,0.7
8/25/17,29.85,-0.1
8/28/17,32.65,2.8
8/29/17,33.4,0.75
8/30/17,33.25,-0.15
8/31/17,33.55,0.3
9/1/17,34.35,0.8
9/5/17,33.2,-1.15
9/6/17,33,-0.2
9/7/17,31.75,-1.25
9/8/17,33,1.25
9/11/17,33.75,0.75
9/12/17,34,0.25
9/13/17,34.7,0.7
9/14/17,37,2.3
9/15/17,35.95,-1.05
9/18/17,33.5,-2.45
9/19/17,31.35,-2.15
9/20/17,31.35,0
9/21/17,31.7,0.35
9/22/17,32.7,1
9/25/17,31.45,-1.25
9/26/17,31.1,-0.35
9/27/17,31.35,0.25
9/28/17,32.65,1.3
9/29/17,32.65,0
10/2/17,34.2,1.55
10/3/17,34.7,0.5
10/4/17,34.8,0.1
10/5/17,34.35,-0.45
10/6/17,34.35,0
10/9/17,33.6,-0.75
10/10/17,32.3,-1.3
10/11/17,32.3,0
10/12/17,32.85,0.55
10/13/17,32.15,-0.7
10/16/17,32.7,0.55
10/17/17,34,1.3
10/18/17,34.3,0.3
10/19/17,34.05,-0.25
10/20/17,34.25,0.2
10/23/17,33.2,-1.05
10/24/17,32.95,-0.25
10/25/17,32,-0.95
10/26/17,31.75,-0.25
10/27/17,33,1.25
10/30/17,32,-1
10/31/17,33.05,1.05
11/1/17,30.8,-2.25
11/2/17,32.05,1.25
